abrt-addon-ccpp            	-rwsr-sr-x	abrt      	abrt      	/usr/libexec/abrt-action-install-debuginfo-to-abrt-cache
libcgroup-tools            	-rwxr-sr-x	root      	cgred     	/usr/bin/cgexec
libutempter                	-rwx--s--x	root      	utmp      	/usr/libexec/utempter/utempter
linux-user-chroot          	-rwsr-xr-x	root      	root      	/usr/bin/linux-user-chroot
lmarbles                   	-r-xr-s--x	root      	games     	/usr/bin/lmarbles
lockdev                    	-rwx--s--x	root      	lock      	/usr/sbin/lockdev
ltspfs                     	-rwsr-xr-x	root      	root      	/usr/bin/lbmount
mach                       	drwxrwsr-x	root      	mach      	/var/cache/mach
mach                       	drwxrwsr-x	root      	mach      	/var/lib/mach
mach                       	drwxrwsr-x	root      	mach      	/var/lib/mach/roots
mach                       	drwxrwsr-x	root      	mach      	/var/lib/mach/states
mach                       	-rwsr-x---	root      	mach      	/usr/sbin/mach-helper
Maelstrom                  	-rwxr-sr-x	root      	games     	/usr/bin/Maelstrom
maildrop                   	-rwsr-sr-x	root      	mail      	/usr/bin/lockmail
maildrop                   	-rwsr-sr-x	root      	mail      	/usr/bin/maildrop
mailman                    	drwxrws---	apache    	mailman   	/var/lib/mailman/archives/private
mailman                    	drwxrwsr-x	root      	mailman   	/var/lib/mailman
mailman                    	drwxrwsr-x	root      	mailman   	/var/lib/mailman/archives
mailman                    	drwxrwsr-x	root      	mailman   	/var/lib/mailman/archives/public
mailman                    	drwxrwsr-x	root      	mailman   	/var/lib/mailman/data
mailman                    	drwxrwsr-x	root      	mailman   	/var/lib/mailman/lists
mailman                    	drwxrwsr-x	root      	mailman   	/var/lib/mailman/spam
mailman                    	drwxrwsr-x	root      	mailman   	/var/spool/mailman
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/admin
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/admindb
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/confirm
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/create
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/edithtml
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/listinfo
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/options
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/private
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/rmlist
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/roster
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/cgi-bin/subscribe
mailman                    	-rwxr-sr-x	root      	mailman   	/usr/lib/mailman/mail/mailman
methane                    	-rwxr-sr-x	root      	games     	/usr/bin/methane
mgetty-sendfax             	-rws--x--x	fax       	root      	/usr/lib64/mgetty+sendfax/faxq-helper
mlocate                    	-rwx--s--x	root      	slocate   	/usr/bin/locate
mock                       	drwxrwsr-x	root      	mock      	/var/cache/mock
mock                       	drwxrwsr-x	root      	mock      	/var/lib/mock
mod_suphp                  	-r-sr-x---	root      	apache    	/usr/sbin/suphp
mon                        	-rwxr-sr-x	root      	uucp      	/usr/lib64/mon/mon.d/dialin.monitor.wrap
monsterz                   	-rwxr-sr-x	root      	games     	/usr/bin/monsterz
moon-buggy                 	-rwxr-sr-x	root      	games     	/usr/bin/moon-buggy
nagios                     	drwxrwsr-x	nagios    	nagios    	/var/spool/nagios/cmd
nagios-plugins-dhcp        	-rwsr-x---	root      	nagios    	/usr/lib64/nagios/plugins/check_dhcp
nagios-plugins-fping       	-rwsr-x---	root      	nagios    	/usr/lib64/nagios/plugins/check_fping
