abrt-addon-ccpp            	-rwsr-sr-x	abrt      	abrt      	/usr/libexec/abrt-action-install-debuginfo-to-abrt-cache
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sw
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/th
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/th/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/tr
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/uk
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/uk/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ur
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/vi
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/vi/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/wa
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/wa/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/zh_CN
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/zh_CN/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/zh_HK
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/zh_HK/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/zh_TW
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/zh_TW/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/af
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/ar
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/eu
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/fr
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/templates
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/zu
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ach/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/af/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ak/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/am/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ar/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ast/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/az/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/be/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/bg/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/bn_IN/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/bn/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/bo/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/br/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ca/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ca@valencia/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/cgg/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/cs/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/da/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/de/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/dz/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/el/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/en_GB/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/en/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/en_ZA/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/eo/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/es/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/et/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/eu/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fa/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ff/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fi/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fo/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fr/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fur/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ga/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/gl/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ha/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/he/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/hi/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/hr/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ht/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/hu/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/hy/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/id/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/is/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/it/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ja/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ka/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/kg/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/km/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/kn/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ko/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ku/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ky/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/lg/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ln/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/lt/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/lv/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/mg/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ml/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/mn/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/mr/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ms/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/mt/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/my/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nap/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nb/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ne/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nl/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nn/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nso/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pa/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pap/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pl/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ps/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pt_BR/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pt/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ro/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ru/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sc/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sk/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sl/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/son/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sq/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sr/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/st/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sv/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sw/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ta/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/templates/pootle.pot
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/te/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/th/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/tl/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/tr/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ug/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/uk/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ur/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/uz/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ve/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/vi/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/wo/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/xh/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/zh_CN/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/zh_HK/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/zh_TW/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/zu/pootle.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/af/gnome-terminologie.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ak/Glossmaster_ak.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/am/gnome/am.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ar/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ar/gnome/ar.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ast/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/az/gnome/az.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/bg/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ca/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ca/gnome/ca.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/cs/gnome/cs.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/da/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/da/gnome/da.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/de/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/eo/gnome/eo.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/es/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/es/gnome/es.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/eu/gnome/eu.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/fa/gnome/fa.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ff/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/fr/gnome/fr.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ga/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/gl/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/hi/fuel_hi.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/hi/gnome/hi.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/hu/gnome/hu.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/is/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/it/gnome/it.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ja/gnome/ja.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/km/GlossaryV3_2Computer.csv.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/km/README
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/kn/gnome/kn.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ko/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ku/gnome/ku.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/lg/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/lg/GM_lg_20090916.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/lg/terms_lg_20090917.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ln/GM_ln_20090916.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/lt/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/mk/gnome/mk.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/mr/gnome/mr.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ms/gnome/ms.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nb/gnome/nb.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nl/gnome/nl.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nn/gnome/nn.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/nso/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/or/fuel_or.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pa/gnome/pa.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pap/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pl/gnome/pl.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pt_BR/gnome/pt_BR.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pt/gnome/pt.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/rw/gnome/rw.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sk/gnome/sk.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/son/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/son/glossmaster.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sq/gnome/sq.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sv/gnome/sv.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sw/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/th/gnome/th.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/tr/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/uk/gnome/uk.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/ur/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/vi/essential.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/vi/gnome/vi.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/wa/gnome/wa.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/zh_CN/gnome/zh_CN.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/zh_HK/gnome/zh_HK.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/zh_TW/gnome/zh_TW.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/af/tutorial.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/ar/tutorial.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/eu/tutorial.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/fr/tutorial.po
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/templates/tutorial.pot
pootle                     	-rwxrws---	apache    	apache    	/var/lib/pootle/po/tutorial/zu/tutorial.po
postfix                    	-rwxr-sr-x	root      	postdrop  	/usr/sbin/postdrop
postfix                    	-rwxr-sr-x	root      	postdrop  	/usr/sbin/postqueue
powermanga                 	-rwxr-sr-x	root      	games     	/usr/bin/powermanga
procmail                   	-rwxr-sr-x	root      	mail      	/usr/bin/lockfile
pulseaudio-module-bluetooth	-rwsr-xr-x	root      	root      	/usr/libexec/pulse/proximity-helper
pwauth                     	-rwsr-x---	root      	apache    	/usr/bin/pwauth
qascade                    	-rwxr-sr-x	root      	games     	/usr/bin/qascade
qemu-common                	-rwsr-xr-x	root      	root      	/usr/libexec/qemu-bridge-helper
rogue                      	-rwxr-sr-x	games     	games     	/usr/bin/rogue
rssh                       	-rwsr-x---	root      	rsshusers 	/usr/libexec/rssh_chroot_helper
schroot                    	-rwsr-xr-x	root      	root      	/usr/bin/schroot
scponly                    	-rwsr-xr-x	root      	root      	/usr/sbin/scponlyc
screen                     	-rwxr-sr-x	root      	screen    	/usr/bin/screen
sendmail                   	-rwxr-sr-x	root      	smmsp     	/usr/sbin/sendmail.sendmail
shadow-utils               	-rwsr-xr-x	root      	root      	/usr/bin/chage
shadow-utils               	-rwsr-xr-x	root      	root      	/usr/bin/gpasswd
shadow-utils               	-rwsr-xr-x	root      	root      	/usr/bin/newgrp
shippy-allegro             	-rwxr-sr-x	root      	games     	/usr/bin/shippy-allegro
shippy                     	-rwxr-sr-x	root      	games     	/usr/bin/shippy-sdl
sipwitch                   	-rwsr-xr-x	root      	root      	/usr/bin/sippasswd
slashem                    	-rwxr-sr-x	root      	games     	/usr/lib64/games/slashem/slashem
slock                      	-rwsr-xr-x	root      	root      	/usr/bin/slock
slrn-pull                  	drwxrwsrwt	news      	news      	/var/spool/slrnpull/out.going
smart-update               	-rwsr-xr-x	root      	root      	/usr/bin/smart-update
spice-glib                 	-rwsr-xr-x	root      	root      	/usr/libexec/spice-gtk-i386/spice-client-glib-usb-acl-helper
spice-glib                 	-rwsr-xr-x	root      	root      	/usr/libexec/spice-gtk-x86_64/spice-client-glib-usb-acl-helper
spnavcfg                   	-rwsrwxr-x	root      	root      	/usr/bin/spnavcfg
sslogger                   	-r-sr-sr-x	slogger   	sloggers  	/usr/bin/sslogger
sudo                       	---s--x--x	root      	root      	/usr/bin/sudo
systemtap-runtime          	---s--x---	root      	stapusr   	/usr/bin/staprun
sysvinit-tools             	-r-xr-sr-x	root      	tty       	/usr/bin/wall
tecnoballz                 	-rwxr-sr-x	root      	games     	/usr/bin/tecnoballz
tennix                     	-rwxr-sr-x	root      	games     	/usr/bin/tennix
toppler                    	-rwxr-sr-x	root      	games     	/usr/bin/toppler
torque-client              	-rwsr-xr-x	root      	root      	/usr/sbin/pbs_iff
typespeed                  	-rwxr-sr-x	root      	games     	/usr/bin/typespeed
ularn                      	-rwxr-sr-x	root      	games     	/usr/bin/Ularn
uml_utilities              	-rwsr-x---	root      	uml-net   	/usr/bin/uml_net
usermode                   	-rws--x--x	root      	root      	/usr/sbin/userhelper
util-linux                 	-rwsr-xr-x	root      	root      	/usr/bin/mount
util-linux                 	-rwsr-xr-x	root      	root      	/usr/bin/su
util-linux                 	-rwsr-xr-x	root      	root      	/usr/bin/umount
util-linux                 	-rws--x--x	root      	root      	/usr/bin/chfn
util-linux                 	-rws--x--x	root      	root      	/usr/bin/chsh
util-linux                 	-rwxr-sr-x	root      	tty       	/usr/bin/write
uucp                       	-r-sr-sr-x	uucp      	uucp      	/usr/bin/cu
uucp                       	-r-sr-sr-x	uucp      	uucp      	/usr/bin/uuname
uucp                       	-r-sr-sr-x	uucp      	uucp      	/usr/sbin/uucico
uucp                       	-r-sr-sr-x	uucp      	uucp      	/usr/sbin/uuxqt
uucp                       	-r-sr-xr-x	uucp      	uucp      	/usr/bin/uucp
uucp                       	-r-sr-xr-x	uucp      	uucp      	/usr/bin/uustat
uucp                       	-r-sr-xr-x	uucp      	uucp      	/usr/bin/uux
uuidd                      	drwxrwsr-x	uuidd     	uuidd     	/run/uuidd
uuidd                      	drwxrwsr-x	uuidd     	uuidd     	/var/lib/libuuid
uw-imap-utils              	-rwxr-sr-x	root      	mail      	/usr/sbin/mlock
vodovod                    	-rwxr-sr-x	root      	games     	/usr/bin/vodovod
vte3                       	-rwx--s--x	root      	utmp      	/usr/lib64/vte-2.90/gnome-pty-helper
vte3                       	-rwx--s--x	root      	utmp      	/usr/lib/vte-2.90/gnome-pty-helper
vte                        	-rwx--s--x	root      	utmp      	/usr/lib64/vte/gnome-pty-helper
vte                        	-rwx--s--x	root      	utmp      	/usr/lib/vte/gnome-pty-helper
xorg-x11-server-Xorg       	-rwsr-xr-x	root      	root      	/usr/bin/Xorg
zhcon                      	-rwsr-xr-x	root      	root      	/usr/bin/zhcon
zoneminder                 	-rwsr-xr-x	root      	root      	/usr/bin/zmfix
